Germany
839
1040
1171
1310
1210
1055
1103
1142
991
1071
1287
1214
950
1124
1291
1190
1135
1190
1196
1145
1194
1308
1257
1280
1047
938
771
739
695
712
542
563
558
556
606
544
429
471
470
425
448
485
423
439
347
318
364
396
406
436
497
681
858
1030
1327
1253
1011
944
1118
1162
1048
1028
1056
1133
1132
1288
1253
1104
1032
1124
1417
2005
2469
2443
2025
1799
1406
988
774
646
607
657
651
596
711
671
570
522
529
486
415
399
400
407
442
396
497
505
503
536
536
538
587
787
916
1019
1075
1169
1082
979
1086
1211
1243
1220
1228
1249
1193
1212
1289
1227
1113
1129
1180
1175
1126
1162
1162
1129
1047
1043
899
836
729
665
604
542
541
497
508
573
603
508
418
367
344
338
329
313
332
387
443
502
595
615
644
675
677
729
855
975
883
918
1044
1044
1037
985
1006
1046
1036
1022
1106
1030
910
1014
1139
1381
1615
1982
1922
1592
1258
1110
960
799
747
648
560
468
524
520
503
486
436
415
408
438
476
542
461
422
446
385
387
429
490
602
717
865
872
861
1039
1016
1061
978
1110
1111
1166
1156
1064
1113
1163
1132
1297
1267
1131
1121
1179
1461
1599
1594
1366
1142
1053
885
860
762
734
708
751
664
585
464
465
425
392
410
444
439
433
433
436
421
352
356
348
365
424
519
620
816
915
922
1021
955
942
891
930
955
1018
1012
1031
1165
1401
1315
1685
1862
1856
1995
1930
1864
1603
1370
1222
1142
1000
882
838
739
611
557
539
516
530
533
476
460
431
426
443
409
352
358
370
414
447
389
381
368
390
449
564
661
697
805
915
993
1028
1099
1396
1687
1568
1305
1042
982
955
783
865
877
769
767
880
877
931
946
979
826
784
699
627
515
498
497
490
472
490
508
594
491
424
365
346
354
306
281
254
282
305
316
335
385
432
557
745
835
896
938
916
927
831
791
729
771
744
807
824
895
920
896
1076
1218
1099
1148
1261
1469
1429
1244
1095
1037
1003
967
798
687
625
596
465
398
383
327
328
321
284
287
265
272
269
295
280
282
286
298
297
263
256
316
352
396
506
599
611
726
817
806
753
866
909
921
929
924
933
914
920
892
815
739
767
862
956
1028
1144
1123
1008
957
840
693
574
586
579
527
434
435
440
407
366
365
377
381
398
381
372
386
347
328
330
319
301
358
437
508
627
718
743
914
923
864
815
870
860
850
836
872
936
1042
1157
1187
1015
1033
1332
1641
1876
2063
2023
1752
1461
1237
1104
950
916
800
632
577
556
492
518
477
468
451
413
353
375
375
351
313
264
255
264
301
324
387
441
515
669
799
862
914
888
783
688
737
736
772
784
773
827
820
744
827
798
717
808
916
1077
1149
1187
1108
1138
1018
910
824
768
714
614
555
472
490
491
477
425
468
382
378
416
420
415
398
377
341
330
345
415
444
515
587
643
746
792
910
921
939
941
991
972
949
956
993
1069
1093
1066
1161
1117
1029
1179
1517
1853
2332
2557
2344
1746
1448
1085
931
796
774
661
579
542
523
467
501
456
438
434
414
424
366
345
349
332
337
298
279
