"Time";"S";"Infected";"R"
1;0.999999;1e-06;0
2;0.999998375997709;1.49920166169172e-06;1.24800629410436e-07
3;0.99999744255587;2.24595472686361e-06;3.11489403463299e-07
4;0.999996045273665;3.36377954575331e-06;5.90946789632923e-07
5;0.999993952574583;5.03793663882291e-06;1.00948877811713e-06
6;0.999990818318843;7.54533628058909e-06;1.63634487667249e-06
7;0.999986124154581;1.13006564683911e-05;2.57518895028381e-06
8;0.99997909375591;1.69249500601052e-05;3.98129403011513e-06
9;0.999968564476872;2.53483161761933e-05;6.08720695181964e-06
10;0.999952795162501;3.79636391699325e-05;9.24119832868448e-06
11;0.999929178406952;5.68567547875179e-05;1.39648382603204e-05
12;0.999893809833419;8.51509649182741e-05;2.10392016631908e-05
13;0.999840843524478;0.000127522555808945;3.1633919713183e-05
14;0.999762832337613;0.000189928392105942;4.72392702815258e-05
15;0.999645925252851;0.000283447055673738;7.0627691475091e-05
16;0.9994713844983;0.000423064043409294;0.000105551458291254
17;0.999211051102607;0.000631295993246634;0.000157652904146666
18;0.998823795441543;0.000941024110897193;0.000235180447560089
19;0.998246339020815;0.00140281896645859;0.000350842012726244
20;0.997385819749607;0.00209085569326554;0.000523324557127528
21;0.996105218724748;0.00311449589149717;0.000780285383755498
22;0.994201536444398;0.00463557784224762;0.00116288571335509
23;0.991376516717203;0.00689146863803467;0.00173201464476277
24;0.987195289296026;0.010227347567051;0.00257736313692295
25;0.981032046057057;0.0151380084180746;0.00382994552486894
26;0.971995951959946;0.0223233100045688;0.00568073803548568
27;0.958859068602187;0.0327384810150231;0.00840245038279071
28;0.939988951819179;0.0476330618585758;0.0123779863222457
29;0.913344761354702;0.0685260046667727;0.0181292339785261
30;0.876619001645809;0.0970432959143974;0.0263377024397938
31;0.827636484527728;0.134525888779423;0.0378376266928495
32;0.765080303736015;0.181363340075877;0.0535563561881085
33;0.689432081323403;0.236189247803334;0.0743786708732631
34;0.603684775359087;0.295374180276257;0.100941044364656
35;0.513208669567434;0.353377036130714;0.133414294301852
36;0.424487552349909;0.404138746080267;0.171373701569825
37;0.343285497028484;0.442876028839178;0.213838474132338
38;0.273258061903489;0.467273954573897;0.259467983522615
39;0.2156502974503;0.477529937494976;0.306819765054724
40;0.169851472048071;0.475582401936257;0.354566126015673
41;0.134243403546606;0.464137179474659;0.401619416978736
42;0.10690120152296;0.445930281787152;0.447168516689888
43;0.0860086346863528;0.423331710456602;0.490659654857045
44;0.0700348898353004;0.39821360956389;0.53175150060081
45;0.0577675115507978;0.371967226561944;0.570265261887258
46;0.0482816271178267;0.345577884704341;0.606140488177832
47;0.0408848777549153;0.319716449520481;0.639398672724604
48;0.0350639457013117;0.294819942458255;0.670116111840434
49;0.030439307211557;0.271156813453547;0.698403879334896
50;0.026729965858254;0.24887641905719;0.724393615084556
51;0.0237270273574766;0.228045466022105;0.748227506620418
52;0.0212741840271058;0.208674420183194;0.7700513957897
53;0.0192536284960468;0.190736203926912;0.790010167577041
54;0.0175758560579167;0.174179448652951;0.808244695289132
55;0.016172293607498;0.158937806544529;0.824889899847973
56;0.01498995817072;0.144936441326754;0.840073600502526
57;0.0139875638712725;0.132096533873646;0.853915902255082
58;0.0131326704620032;0.120338367115739;0.866528962422258
59;0.0123995798613082;0.10958340819268;0.878017011946012
60;0.0117677736698179;0.099755679236243;0.888476547093939
61;0.0112207439328582;0.0907826241267504;0.897996631940392
62;0.0107451113032958;0.0825956203546979;0.906659268342007
63;0.0103299570425917;0.0751302384111894;0.914539804546219
64;0.00996631050374078;0.0683263295744258;0.921707359921834
65;0.00964675080383562;0.0621279977639921;0.928225251432173
66;0.00936510419156845;0.0564834809370572;0.934151414871375
67;0.0091162048579433;0.0513449852139111;0.939538809928146
68;0.00889570587447224;0.0466684871328814;0.944435806992647
69;0.00869993018424115;0.042413516167789;0.94888655364797
70;0.00852575193483526;0.0385429293775096;0.952931318687655
71;0.0083705013888023;0.035022685071934;0.956606813539264
72;0.00823188827868637;0.0318216204865132;0.959946491234801
73;0.00810793968081263;0.0289112368382048;0.962980823480983
74;0.00799694938193139;0.0262654939162707;0.965737556701798
75;0.00789743639443395;0.0238606155312519;0.968241948074314
76;0.0078081107930332;0.021674906523588;0.970516982683379
77;0.00772784544122229;0.0196885815912485;0.972583572967529
78;0.00765565247973396;0.0178836058829335;0.974460741637333
79;0.00759066368403098;0.0162435470852779;0.976165789230691
80;0.00753211398027726;0.0147534385851646;0.977714447434558
81;0.00747932755167003;0.0133996531928511;0.979121019255479
82;0.00743170607877538;0.0121697868544064;0.980398507066818
83;0.00738871874562734;0.0110525517526551;0.981558729501718
84;0.00734989371314629;0.0100376781867076;0.982612428100146
85;0.00731481081696562;0.00911582462544914;0.983569364557585
86;0.00728309529112966;0.00827849534575178;0.984438409363119
87;0.00725441235473452;0.00751796508841916;0.985227622556846
88;0.00722846252727268;0.00682721019158058;0.985944327281147
89;0.00720497756164902;0.00619984569061827;0.986595176747733
90;0.00718371690268003;0.00563006790443123;0.987186215192889
91;0.00716446459424671;0.00511260205894446;0.987722933346809
92;0.00714702657083601;0.00464265452957236;0.988210318899592
93;0.00713122827952042;0.00421586931435123;0.988652902406128
94;0.0071169125869236;0.00382828837833139;0.989054799034745
95;0.00710393793274558;0.00347631553734708;0.989419746529907
96;0.00709217669724889;0.00315668357532714;0.989751139727424
97;0.00708151375495824;0.00286642431380459;0.990052061931237
98;0.00707184519087684;0.00260284137520731;0.990325313433916
99;0.00706307715891707;0.00236348540287827;0.990573437438205
100;0.00705512486509569;0.00214613152062159;0.990798743614283
101;0.00704791166045014;0.00194875883295343;0.991003329506597
