"Time";"S";"I";"R"
1;1.00E+05;5;0
2;99996.92635;7.458883748;0.614771168
3;99992.34136;11.12678003;1.531864068
4;99985.50219;16.59789649;2.899918127
5;99975.30124;24.75815356;4.940609859
6;99960.08746;36.92803831;7.984500464
7;99937.4007;55.07488936;12.52440569
8;99903.57734;82.12785604;19.29479956
9;99853.16634;122.4438739;29.38978306
10;99778.06778;182.4942258;44.43799505
11;99666.26909;271.8697523;66.86115345
12;99500.00694;404.7385992;100.2544647
13;99253.12822;601.9292947;149.9424873
14;98887.37807;893.8391311;223.7827951
15;98347.34301;1324.34712;333.3098672
16;97553.92757;1955.750387;495.3220383
17;96396.71166;2874.289508;733.9988351
18;94726.6785;4194.776818;1083.544682
19;92353.0092;6060.873005;1591.117796
20;89051.0839;8634.599863;2319.316242
21;84592.32513;12065.97495;3346.699918
22;78805.65509;16435.39919;4763.945726
23;71667.37778;21674.59985;6663.022371
24;63387.15497;27499.20944;9118.635591
25;54429.60183;33409.54398;12165.8542
26;45424.79587;38797.16551;15783.03863
27;36993.42141;43121.97928;19889.59931
28;29582.50544;46061.54197;24360.95259
29;23396.06968;47555.44331;29053.48701
30;18427.1498;47749.2609;33828.5893
31;14539.12918;46897.4084;38568.46242
32;11543.83336;45278.62664;43182.54
33;9252.885464;43145.03282;47607.08172
34;7502.503692;40701.23436;51801.26195
35;6160.75755;38102.04554;55742.19691
36;5125.902251;35458.85526;59420.24249
37;4321.370135;32848.53747;62835.0924
38;3690.259215;30321.97803;65992.76275
39;3190.488377;27911.15103;68903.3606
40;2790.929681;25634.59138;71579.47894
41;2468.477357;23501.45585;74035.06679
42;2205.883599;21514.46985;76284.64655
43;1990.182954;19672.03475;78342.7823
44;1811.552575;17969.72107;80223.72635
45;1662.488324;16401.32005;81941.19163
46;1537.209071;14959.5779;83508.21303
47;1431.223023;13636.70712;84937.06985
48;1341.010763;12424.73809;86239.25114
49;1263.791993;11315.7578;87425.45021
50;1197.352718;10302.06854;88505.57874
51;1139.916252;9376.289884;89488.79386
52;1090.046217;8531.420538;90383.53324
53;1046.57306;7760.872073;91197.55487
54;1008.53797;7058.482864;91937.97917
55;975.1497713;6418.518422;92611.33181
56;945.751548;5835.662431;93223.58602
57;919.7946279;5305.001663;93780.20371
58;896.818167;4822.00701;94286.17482
59;876.4330231;4382.512246;94746.05473
60;858.3089379;3982.691669;95163.99939
61;842.1642862;3619.037432;95543.79828
62;827.7578302;3288.337129;95888.90504
63;814.8820481;2987.652018;96202.46593
64;803.3577073;2714.296133;96487.34616
65;793.0294257;2465.816445;96746.15413
66;783.7620228;2239.974166;96981.26381
67;775.4375055;2034.727222;97194.83527
68;767.9525642;1848.21391;97388.83353
69;761.2164863;1678.737723;97565.04579
70;755.1494056;1524.753286;97725.09731
71;749.680831;1384.853377;97870.46579
72;744.7484014;1257.75696;98002.49464
73;740.2968301;1142.298181;98122.40499
74;736.2770045;1037.416265;98231.30673
75;732.6452169;942.146242;98330.20854
76;729.3625034;855.6104643;98420.02703
77;726.394075;777.0108334;98501.59509
78;723.7088254;705.6216991;98575.66948
79;721.2789043;640.7833708;98642.93772
80;719.0793464;581.896193;98704.02446
81;717.0877474;528.4151402;98759.49711
82;715.2839805;479.8448878;98809.87113
83;713.6499483;435.735318;98855.61473
84;712.1693638;395.6774265;98897.15321
85;710.827558;359.2995922;98934.87285
86;709.6113095;326.2641826;98969.12451
87;708.5086937;296.2644617;99000.22684
88;707.5089494;269.0217775;99028.46927
89;706.6023599;244.2830022;99054.11464
90;705.7801469;221.8182038;99077.40165
91;705.0343767;201.4185284;99098.54709
92;704.3578757;182.8942746;99117.74785
93;703.7441551;166.073142;99135.1827
94;703.1873436;150.7986399;99151.01402
95;702.682127;136.9286399;99165.38923
96;702.2236936;124.3340611;99178.44225
97;701.8076861;112.8976742;99190.29464
98;701.4301572;102.5130158;99201.05683
99;701.0875309;93.0834013;99210.82907
100;700.776566;84.52102771;99219.70241
